               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  87,              1.6756,              1.1342,              1.5824,             0.94562,             0.95833,             0.97543,             0.60922,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,               1.684,              1.2256,              1.5944,             0.89727,             0.91667,             0.94912,             0.59454,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.6586,              1.1382,              1.6387,             0.83316,             0.95833,             0.95148,             0.58402,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.6972,              1.1646,              1.5905,             0.78484,             0.95833,             0.94493,             0.57859,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.6595,              1.2061,              1.6088,             0.85783,             0.91667,             0.93412,             0.58932,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.5371,              1.0817,              1.4978,             0.85247,             0.91667,             0.93911,             0.61317,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.5885,              1.1054,              1.5464,             0.91922,             0.94861,             0.97575,             0.62804,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,                1.62,              1.1401,              1.5596,             0.95576,             0.90056,             0.97688,             0.62086,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.5602,              1.0877,              1.5515,             0.95786,              0.9474,              0.9799,             0.65343,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.7397,              1.1689,              1.6252,             0.95719,             0.93199,                0.98,              0.6308,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.6648,              1.1472,               1.591,             0.90538,             0.95833,             0.97002,             0.63229,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.5933,              1.0563,              1.5883,             0.86494,             0.95833,             0.96822,             0.61866,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.5301,              1.0085,              1.4716,             0.86886,             0.95833,             0.96516,             0.61195,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
